,0.1_original_accuracy,0.1_original_dpd,0.1_original_eod,0.1_column_shuffle_accuracy,0.1_column_shuffle_dpd,0.1_column_shuffle_eod,0.1_column_killing_accuracy,0.1_column_killing_dpd,0.1_column_killing_eod,0.1_redistribution_accuracy,0.1_redistribution_dpd,0.1_redistribution_eod,0.1_new_class_accuracy,0.1_new_class_dpd,0.1_new_class_eod,0.2_original_accuracy,0.2_original_dpd,0.2_original_eod,0.2_column_shuffle_accuracy,0.2_column_shuffle_dpd,0.2_column_shuffle_eod,0.2_column_killing_accuracy,0.2_column_killing_dpd,0.2_column_killing_eod,0.2_redistribution_accuracy,0.2_redistribution_dpd,0.2_redistribution_eod,0.2_new_class_accuracy,0.2_new_class_dpd,0.2_new_class_eod,0.3_original_accuracy,0.3_original_dpd,0.3_original_eod,0.3_column_shuffle_accuracy,0.3_column_shuffle_dpd,0.3_column_shuffle_eod,0.3_column_killing_accuracy,0.3_column_killing_dpd,0.3_column_killing_eod,0.3_redistribution_accuracy,0.3_redistribution_dpd,0.3_redistribution_eod,0.3_new_class_accuracy,0.3_new_class_dpd,0.3_new_class_eod,0.4_original_accuracy,0.4_original_dpd,0.4_original_eod,0.4_column_shuffle_accuracy,0.4_column_shuffle_dpd,0.4_column_shuffle_eod,0.4_column_killing_accuracy,0.4_column_killing_dpd,0.4_column_killing_eod,0.4_redistribution_accuracy,0.4_redistribution_dpd,0.4_redistribution_eod,0.4_new_class_accuracy,0.4_new_class_dpd,0.4_new_class_eod,0.5_original_accuracy,0.5_original_dpd,0.5_original_eod,0.5_column_shuffle_accuracy,0.5_column_shuffle_dpd,0.5_column_shuffle_eod,0.5_column_killing_accuracy,0.5_column_killing_dpd,0.5_column_killing_eod,0.5_redistribution_accuracy,0.5_redistribution_dpd,0.5_redistribution_eod,0.5_new_class_accuracy,0.5_new_class_dpd,0.5_new_class_eod
0,0.75,0.25,0.47058823529411764,0.745,0.25,0.4516129032258065,0.74,0.20967741935483875,0.47058823529411764,0.755,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.75,0.25,0.47058823529411764,0.755,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.755,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.25,0.4516129032258065,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.5161290322580645,0.745,0.15000000000000002,0.2857142857142857,0.75,0.25,0.47058823529411764,0.75,0.25,0.4516129032258065,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.5161290322580645,0.74,0.25,0.4516129032258065
1,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.745,0.20967741935483875,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.755,0.25,0.4838709677419355,0.745,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.745,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.765,0.25,0.5161290322580645,0.755,0.15000000000000002,0.303921568627451,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.765,0.25,0.5161290322580645,0.755,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.745,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.765,0.25,0.5161290322580645,0.75,0.25,0.47058823529411764
2,0.75,0.25,0.47058823529411764,0.745,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.755,0.25,0.4838709677419355,0.755,0.15000000000000002,0.303921568627451,0.75,0.25,0.47058823529411764,0.745,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.765,0.25,0.5161290322580645,0.745,0.15000000000000002,0.2857142857142857,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.765,0.25,0.5161290322580645,0.745,0.25,0.4516129032258065,0.75,0.25,0.47058823529411764,0.745,0.20967741935483875,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.755,0.25,0.4838709677419355,0.745,0.15000000000000002,0.303921568627451,0.75,0.25,0.47058823529411764,0.755,0.19999999999999996,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.755,0.25,0.47058823529411764,0.745,0.25,0.4516129032258065
3,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.5161290322580645,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.745,0.19999999999999996,0.4516129032258065,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.5161290322580645,0.745,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.745,0.20967741935483875,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.755,0.25,0.4838709677419355,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.765,0.25,0.4838709677419355,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.745,0.25,0.47058823529411764
4,0.75,0.25,0.47058823529411764,0.755,0.25,0.4838709677419355,0.74,0.20967741935483875,0.47058823529411764,0.765,0.25,0.5161290322580645,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.75,0.25,0.47058823529411764,0.75,0.15000000000000002,0.2857142857142857,0.75,0.25,0.47058823529411764,0.755,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.75,0.15000000000000002,0.2857142857142857,0.75,0.25,0.47058823529411764,0.76,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.75,0.25,0.47058823529411764,0.76,0.15000000000000002,0.303921568627451,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.75,0.25,0.47058823529411764,0.745,0.25,0.4516129032258065
5,0.75,0.25,0.47058823529411764,0.76,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.745,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.745,0.20967741935483875,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.74,0.25,0.4516129032258065,0.75,0.25,0.47058823529411764,0.74,0.19999999999999996,0.4516129032258065,0.74,0.20967741935483875,0.47058823529411764,0.755,0.25,0.4838709677419355,0.755,0.15000000000000002,0.303921568627451,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.5161290322580645,0.75,0.15000000000000002,0.2857142857142857,0.75,0.25,0.47058823529411764,0.76,0.19999999999999996,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.75,0.15000000000000002,0.2857142857142857
6,0.75,0.25,0.47058823529411764,0.755,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.755,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.755,0.25,0.4838709677419355,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.745,0.20967741935483875,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.75,0.25,0.47058823529411764,0.76,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.755,0.25,0.4838709677419355,0.755,0.15000000000000002,0.303921568627451,0.75,0.25,0.47058823529411764,0.76,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.765,0.25,0.5161290322580645,0.755,0.25,0.47058823529411764
7,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.755,0.15000000000000002,0.303921568627451,0.75,0.25,0.47058823529411764,0.755,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.765,0.25,0.5161290322580645,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.5161290322580645,0.75,0.15000000000000002,0.2857142857142857,0.75,0.25,0.47058823529411764,0.75,0.25,0.4516129032258065,0.74,0.20967741935483875,0.47058823529411764,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.745,0.25,0.4516129032258065,0.74,0.20967741935483875,0.47058823529411764,0.765,0.25,0.5161290322580645,0.75,0.25,0.47058823529411764
8,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.755,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.5161290322580645,0.745,0.25,0.4516129032258065,0.75,0.25,0.47058823529411764,0.76,0.15000000000000002,0.303921568627451,0.74,0.20967741935483875,0.47058823529411764,0.765,0.25,0.5161290322580645,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.755,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.765,0.25,0.5161290322580645,0.755,0.15000000000000002,0.303921568627451
9,0.75,0.25,0.47058823529411764,0.75,0.25,0.4838709677419355,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.5161290322580645,0.745,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.77,0.25,0.4838709677419355,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.76,0.15000000000000002,0.303921568627451,0.75,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.5161290322580645,0.745,0.25,0.47058823529411764,0.75,0.25,0.47058823529411764,0.75,0.20967741935483875,0.4838709677419355,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.75,0.25,0.4516129032258065,0.75,0.25,0.47058823529411764,0.75,0.19999999999999996,0.47058823529411764,0.74,0.20967741935483875,0.47058823529411764,0.76,0.25,0.4838709677419355,0.755,0.15000000000000002,0.303921568627451
