,0.1_original_accuracy,0.1_original_dpd,0.1_original_eod,0.1_column_shuffle_accuracy,0.1_column_shuffle_dpd,0.1_column_shuffle_eod,0.1_column_killing_accuracy,0.1_column_killing_dpd,0.1_column_killing_eod,0.1_redistribution_accuracy,0.1_redistribution_dpd,0.1_redistribution_eod,0.1_new_class_accuracy,0.1_new_class_dpd,0.1_new_class_eod,0.2_original_accuracy,0.2_original_dpd,0.2_original_eod,0.2_column_shuffle_accuracy,0.2_column_shuffle_dpd,0.2_column_shuffle_eod,0.2_column_killing_accuracy,0.2_column_killing_dpd,0.2_column_killing_eod,0.2_redistribution_accuracy,0.2_redistribution_dpd,0.2_redistribution_eod,0.2_new_class_accuracy,0.2_new_class_dpd,0.2_new_class_eod,0.3_original_accuracy,0.3_original_dpd,0.3_original_eod,0.3_column_shuffle_accuracy,0.3_column_shuffle_dpd,0.3_column_shuffle_eod,0.3_column_killing_accuracy,0.3_column_killing_dpd,0.3_column_killing_eod,0.3_redistribution_accuracy,0.3_redistribution_dpd,0.3_redistribution_eod,0.3_new_class_accuracy,0.3_new_class_dpd,0.3_new_class_eod,0.4_original_accuracy,0.4_original_dpd,0.4_original_eod,0.4_column_shuffle_accuracy,0.4_column_shuffle_dpd,0.4_column_shuffle_eod,0.4_column_killing_accuracy,0.4_column_killing_dpd,0.4_column_killing_eod,0.4_redistribution_accuracy,0.4_redistribution_dpd,0.4_redistribution_eod,0.4_new_class_accuracy,0.4_new_class_dpd,0.4_new_class_eod,0.5_original_accuracy,0.5_original_dpd,0.5_original_eod,0.5_column_shuffle_accuracy,0.5_column_shuffle_dpd,0.5_column_shuffle_eod,0.5_column_killing_accuracy,0.5_column_killing_dpd,0.5_column_killing_eod,0.5_redistribution_accuracy,0.5_redistribution_dpd,0.5_redistribution_eod,0.5_new_class_accuracy,0.5_new_class_dpd,0.5_new_class_eod
0,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.78,0.4,0.6666666666666667,0.775,0.20967741935483875,0.47058823529411764,0.79,0.4,0.6666666666666667,0.795,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.765,0.4,0.6666666666666667,0.775,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.78,0.30000000000000004,0.6666666666666667,0.765,0.20000000000000007,0.5,0.775,0.4,0.6666666666666667,0.775,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.795,0.35,0.6666666666666667,0.765,0.20000000000000007,0.5,0.76,0.4,0.6666666666666667,0.78,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.79,0.30000000000000004,0.5,0.765,0.20000000000000007,0.5,0.775,0.4,0.6666666666666667,0.78,0.30000000000000004,0.5
1,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.76,0.4,0.6666666666666667,0.78,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.78,0.35,0.6666666666666667,0.765,0.20000000000000007,0.5,0.77,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.78,0.25,0.5,0.765,0.20000000000000007,0.5,0.76,0.4,0.6666666666666667,0.765,0.19999999999999996,0.4117647058823529,0.79,0.4,0.6666666666666667,0.775,0.35,0.6666666666666667,0.765,0.20000000000000007,0.5,0.765,0.4,0.6666666666666667,0.775,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.79,0.20000000000000007,0.34946236559139787,0.765,0.20000000000000007,0.5,0.765,0.4,0.6666666666666667,0.76,0.19999999999999996,0.4117647058823529
2,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.77,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.77,0.4,0.6666666666666667,0.805,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.795,0.30000000000000004,0.5,0.765,0.20000000000000007,0.5,0.78,0.4,0.6666666666666667,0.78,0.19999999999999996,0.4516129032258065,0.79,0.4,0.6666666666666667,0.775,0.35,0.6666666666666667,0.765,0.20000000000000007,0.5,0.765,0.4,0.6666666666666667,0.765,0.19999999999999996,0.47058823529411764,0.79,0.4,0.6666666666666667,0.78,0.30000000000000004,0.5,0.765,0.20000000000000007,0.5,0.77,0.4,0.6666666666666667,0.77,0.30000000000000004,0.5
3,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.785,0.4,0.6666666666666667,0.8,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.755,0.4,0.6666666666666667,0.78,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.78,0.25,0.5,0.765,0.20000000000000007,0.5,0.765,0.4,0.6666666666666667,0.755,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.78,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.78,0.4,0.6666666666666667,0.79,0.19999999999999996,0.4193548387096774,0.79,0.4,0.6666666666666667,0.765,0.35,0.6666666666666667,0.765,0.20000000000000007,0.5,0.775,0.4,0.6666666666666667,0.78,0.19999999999999996,0.47058823529411764
4,0.79,0.4,0.6666666666666667,0.775,0.25,0.5,0.765,0.20000000000000007,0.5,0.78,0.4,0.6666666666666667,0.785,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.785,0.35,0.6666666666666667,0.765,0.20000000000000007,0.5,0.755,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.79,0.35,0.5,0.765,0.20000000000000007,0.5,0.77,0.4,0.6666666666666667,0.755,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.775,0.30000000000000004,0.5,0.765,0.20000000000000007,0.5,0.785,0.4,0.6666666666666667,0.795,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.785,0.35,0.6666666666666667,0.765,0.20000000000000007,0.5,0.765,0.4,0.6666666666666667,0.78,0.4,0.6666666666666667
5,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.755,0.4,0.6666666666666667,0.78,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.79,0.35,0.5,0.765,0.20000000000000007,0.5,0.78,0.4,0.6666666666666667,0.795,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.785,0.35,0.6666666666666667,0.765,0.20000000000000007,0.5,0.775,0.4,0.6666666666666667,0.785,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.785,0.35,0.6666666666666667,0.765,0.20000000000000007,0.5,0.765,0.4,0.6666666666666667,0.785,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.78,0.20000000000000007,0.5483870967741935,0.765,0.20000000000000007,0.5,0.78,0.4,0.6666666666666667,0.775,0.19999999999999996,0.3548387096774194
6,0.79,0.4,0.6666666666666667,0.785,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.78,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.785,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.78,0.4,0.6666666666666667,0.785,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.785,0.35,0.6666666666666667,0.765,0.20000000000000007,0.5,0.755,0.4,0.6666666666666667,0.795,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.755,0.4,0.6666666666666667,0.775,0.19999999999999996,0.47058823529411764,0.79,0.4,0.6666666666666667,0.765,0.25,0.5,0.765,0.20000000000000007,0.5,0.775,0.4,0.6666666666666667,0.78,0.19999999999999996,0.4193548387096774
7,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.775,0.4,0.6666666666666667,0.78,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.78,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.76,0.4,0.6666666666666667,0.785,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.775,0.25,0.5,0.765,0.20000000000000007,0.5,0.775,0.4,0.6666666666666667,0.78,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.79,0.35,0.6666666666666667,0.765,0.20000000000000007,0.5,0.77,0.4,0.6666666666666667,0.77,0.19999999999999996,0.4193548387096774,0.79,0.4,0.6666666666666667,0.78,0.30000000000000004,0.5161290322580645,0.765,0.20000000000000007,0.5,0.775,0.4,0.6666666666666667,0.775,0.30000000000000004,0.5
8,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.755,0.4,0.6666666666666667,0.785,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.775,0.25,0.5,0.765,0.20000000000000007,0.5,0.77,0.4,0.6666666666666667,0.79,0.19999999999999996,0.47058823529411764,0.79,0.4,0.6666666666666667,0.78,0.30000000000000004,0.5,0.765,0.20000000000000007,0.5,0.77,0.4,0.6666666666666667,0.785,0.19999999999999996,0.4193548387096774,0.79,0.4,0.6666666666666667,0.78,0.35,0.6666666666666667,0.765,0.20000000000000007,0.5,0.77,0.4,0.6666666666666667,0.785,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.775,0.25,0.5,0.765,0.20000000000000007,0.5,0.765,0.4,0.6666666666666667,0.78,0.4,0.6666666666666667
9,0.79,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.765,0.20000000000000007,0.5,0.76,0.4,0.6666666666666667,0.785,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.78,0.25,0.33333333333333337,0.765,0.20000000000000007,0.5,0.76,0.4,0.6666666666666667,0.795,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.785,0.35,0.6666666666666667,0.765,0.20000000000000007,0.5,0.785,0.4,0.6666666666666667,0.785,0.30000000000000004,0.5,0.79,0.4,0.6666666666666667,0.77,0.20000000000000007,0.5,0.765,0.20000000000000007,0.5,0.765,0.4,0.6666666666666667,0.78,0.4,0.6666666666666667,0.79,0.4,0.6666666666666667,0.76,0.35,0.6666666666666667,0.765,0.20000000000000007,0.5,0.75,0.4,0.6666666666666667,0.765,0.30000000000000004,0.5
